#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  75
#! SET periodic_phi true
   -3.141592654   15.934650049  -46.951601835
   -3.057816849   12.386836260  -37.410273255
   -2.974041045    9.647346559  -28.576238962
   -2.890265241    7.446991466  -25.009441363
   -2.806489437    5.330230735  -25.961281600
   -2.722713633    3.118331638  -26.129118665
   -2.638937829    1.144595750  -19.708947179
   -2.555162025    0.000000000   -6.919552760
   -2.471386221    0.006851865    6.550328403
   -2.387610417    0.915605852   13.762346661
   -2.303834613    2.095081585   13.236915249
   -2.220058809    3.020961109    8.688592608
   -2.136283004    3.574209334    4.991393281
   -2.052507200    3.905070489    2.916374560
   -1.968731396    4.050846920    0.194494304
   -1.884955592    3.856689887   -4.962699216
   -1.801179788    3.233350259   -9.560552723
   -1.717403984    2.383721735   -9.919057707
   -1.633628180    1.689444971   -6.328562559
   -1.549852376    1.341986689   -2.318176433
   -1.466076572    1.248753739   -0.228066251
   -1.382300768    1.287639836    1.247002711
   -1.298524963    1.534420038    5.223820186
   -1.214749159    2.231014768   11.625017596
   -1.130973355    3.488238503   18.195736572
   -1.047197551    5.239269862   23.385326091
   -0.963421747    7.390258962   28.145777376
   -0.879645943   10.017751463   34.879086461
   -0.795870139   13.287953962   43.250619954
   -0.712094335   17.219295315   50.100767697
   -0.628318531   21.543366093   52.095306271
   -0.544542727   25.791019062   48.340066455
   -0.460766923   29.530524874   40.556948116
   -0.376991118   32.550828530   31.494042002
   -0.293215314   34.816096582   22.722328267
   -0.209439510   36.350912005   14.057251123
   -0.125663706   37.196186985    6.207320868
   -0.041887902   37.427238902   -0.491369483
    0.041887902   37.125982211   -6.690021479
    0.125663706   36.282190208  -13.730682291
    0.209439510   34.763656738  -22.889678735
    0.293215314   32.421410384  -33.127903319
    0.376991118   29.250090137  -42.098386412
    0.460766923   25.471796428  -47.150113350
    0.544542727   21.490301396  -47.074451157
    0.628318531   17.733230810  -41.859966393
    0.712094335   14.566823309  -33.263613997
    0.795870139   12.184148046  -23.841176115
    0.879645943   10.528973534  -16.219523158
    0.963421747    9.414623077  -10.607804945
    1.047197551    8.759815086   -4.695561126
    1.130973355    8.738007397    4.980672344
    1.214749159    9.723180915   19.437715154
    1.298524963   12.093138721   37.538499498
    1.382300768   16.042128067   56.597316722
    1.466076572   21.491600855   72.749473900
    1.549852376   28.041752602   82.150775723
    1.633628180   34.970552346   81.420952232
    1.717403984   41.394160279   70.403230037
    1.801179788   46.592106293   53.013033223
    1.884955592   50.257336735   34.802794882
    1.968731396   52.512193213   19.803451171
    2.052507200   53.713152424    9.588133410
    2.136283004   54.223231144    3.019308976
    2.220058809   54.255829290   -2.252509940
    2.303834613   53.821085730   -8.515644446
    2.387610417   52.754135907  -17.451512503
    2.471386221   50.800108780  -29.580429418
    2.555162025   47.778273780  -42.455205678
    2.638937829   43.760036757  -52.707345715
    2.722713633   39.086982599  -57.876754984
    2.806489437   34.201818859  -58.177442984
    2.890265241   29.386957040  -56.652556523
    2.974041045   24.698494830  -55.301311425
    3.057816849   20.148103096  -52.913787733
